ISO code,Country,Variable code,Variable name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,368.250915527344,401.719329833984,438.229522705078,478.057891845703,521.506103515625,568.903076171875,620.607727050781,677.011474609375,738.541564941406,805.663757324219,878.886291503906,958.763732910156,1045.90075683594,1140.95727539063,1244.65295410156,1357.77294921875,1481.173828125,1719.32336425781,2039.95397949219,2287.39697265625,2378.01000976563,2567.3681640625,2718.38989257813,2917.04125976563,3156.35229492188,3235.47436523438,3275.7587890625,3531.74096679688,3767.1884765625,3810.67993164063,3982.6962890625,3918.97143554688,3923.78100585938,3944.35302734375,4243.611328125,4295.7841796875,4338.79150390625,4483.80517578125,4429.08447265625,3997.39990234375,3883.82202148438,3928.1259765625,3863.90209960938,4123.19287109375,4057.77612304688,4032.470703125,4101.81396484375,4390.931640625,4496.18603515625,4395.8115234375,3243.58911132813,4026.3525390625,4369.31396484375,4555.609375
ABW,Aruba,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,776.961547851563,857.151245117188,944.586181640625,1039.99340820313,1143.99963378906,1257.34033203125,1380.86193847656,1515.75415039063,1662.74267578125,1823.07824707031,1997.76147460938,2188.0634765625,2395.35131835938,2621.23071289063,2867.302734375,3135.44506835938,3427.85107421875,3775.00512695313,4197.513671875,4673.33251953125,5152.28662109375,5663.36572265625,6204.38134765625,6776.3447265625,7411.85986328125,8072.63427734375,8645.6572265625,9336.1328125,10134.4755859375,10909.001953125,11437.3662109375,11965.09375,12594.4697265625,13318.7080078125,14101.0283203125,15099.09765625,16162.5654296875,17136.66796875,18116.80078125,18813.51953125,19346.103515625,19866.064453125,20179.43359375,20544.458984375,20856.5234375,21116.46484375,21373.1484375,21666.6796875,21968.63671875,22266.49609375,22325.037109375,22440.20703125,22645.17578125,22632.26171875
AGO,Angola,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,54250.375,57505.39453125,57620.41015625,62287.65625,64218.578125,61007.65234375,57835.25,58297.9296875,55208.140625,55373.76953125,56702.734375,54207.81640625,54207.81640625,56484.54296875,59873.6171875,61969.19140625,63937.44140625,68413.296875,72225.890625,72505.7421875,72183.3515625,72898.9453125,68642.9140625,52179.9921875,52878.87109375,60810.70703125,69047.125,74069.8046875,77544.53125,79236.15625,81656.5234375,84220.5390625,96457.7890625,99341.7265625,110222.7109375,126788.296875,141556.546875,161387.6875,179405.71875,180946,189738.546875,196326.25,213096.734375,223654.78125,234440.828125,236550.796875,230400.46875,230170.078125,227177.875,225587.609375,212868.46875,215422.875,221885.578125,224326.296875
AGO,Angola,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,94229.1640625,104715.09375,114854.078125,125801.609375,136841.015625,146502.09375,155063.6875,163820.015625,171386,178674.203125,185202.796875,191819.546875,200092.453125,206112.46875,212775.515625,216417.65625,218518.09375,221674.15625,222885.015625,222628.234375,222973.828125,232726.875,251908.140625,265545.40625,277844,294597.34375,322912.03125,340322.125,368750.71875,387617.09375,390193.90625,391618.78125,395123.40625,400705.40625,409815.28125,421354.8125,433387.875,448698.3125,471630.28125,497158.25,516478.03125,538552.5625,562693.625,586390.1875,610933.1875,633460.125,651413.4375,659431.125,665065.5625,672279.1875,677214.1875,683729.4375,692778.8125,700716.3125
AIA,Anguilla,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,41.1590766906738,40.1306915283203,44.7611465454102,46.6317710876465,46.5377159118652,48.1300811767578,48.8764801025391,48.9685821533203,52.6158561706543,57.6204032897949,60.4272270202637,62.6757507324219,61.9744682312012,62.0252723693848,64.7851028442383,73.1153106689453,82.4369812011719,91.2045974731445,105.39608001709,114.356414794922,143.521392822266,117.450546264648,151.164031982422,162.38883972168,175.390106201172,171.319885253906,176.049774169922,195.349029541016,216.02116394043,224.541320800781,228.387313842773,230.366516113281,219.216613769531,232.257400512695,264.699157714844,295.214263916016,349.014038085938,393.264373779297,388.994873046875,322.064239501953,306.497344970703,317.152557373047,301.257507324219,298.421142578125,313.2099609375,329.084014892578,314.612457275391,297.132385253906,320.892272949219,342.031677246094,242.520538330078,268.632934570313,335.644683837891,343.926544189453
AIA,Anguilla,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,304.481109619141,329.409393310547,358.150939941406,388.048889160156,417.263153076172,447.178192138672,477.243682861328,507.205596923828,540.031372070313,576.308654785156,613.353210449219,652.947143554688,693.098022460938,730.385314941406,766.184326171875,804.330444335938,867.098083496094,946.063720703125,999.854248046875,1065.56982421875,1147.41748046875,1193.85693359375,1263.23315429688,1314.02880859375,1368.82763671875,1428.91589355469,1496.23583984375,1559.60913085938,1667.11560058594,1813.22094726563,1953.86071777344,2040.072265625,2079.27514648438,2131.36645507813,2239.5126953125,2377.72338867188,2583.8017578125,2910.05493164063,3261.44750976563,3341.12768554688,3378.9072265625,3369.375,3376.41821289063,3398.36206054688,3464.93896484375,3546.16333007813,3592.67041015625,3638.69897460938,3851.85302734375,3890.53100585938,3925.0625,3975.53491210938,4071.75219726563,4179.43994140625
ALB,Albania,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,10013.3056640625,10413.919921875,10831.9248046875,11267.142578125,11714.5205078125,12189.3349609375,12680.5537109375,13166.10546875,13732.46875,14276.2890625,14737.5986328125,15584.359375,16043.8876953125,16221.1630859375,16018.138671875,16303.3623046875,17215.48828125,17079.80859375,16837.169921875,18494.046875,16649.990234375,11987.6357421875,11126.072265625,12189.658203125,13201.7490234375,14960.5302734375,16028.4560546875,14277.4755859375,15538.083984375,17541.052734375,18759.505859375,20315.287109375,21236.904296875,22411.013671875,23646.9375,24953.779296875,26426.6953125,28007.869140625,30108.484375,31118.408203125,32271.935546875,33093.546875,33562.7421875,33899.171875,34500.796875,35266.328125,36435.22265625,37820.6484375,39340.6484375,40161.95703125,38835.77734375,42296.04296875,44350.1328125,45875.40625
ALB,Albania,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,29072.6640625,30921.224609375,32854.6875,34876.80859375,36983.984375,39171.78125,41464.49609375,43827.38671875,46272.91015625,48904.95703125,51476.24609375,54166.51171875,57416.8203125,60588.90234375,63867.41796875,66581.6171875,69452.4140625,72302.6171875,75015,78067.6484375,81010.8515625,79396.0390625,77669.53125,77268.8515625,78067.65625,79213.4296875,80929.984375,81805.25,83054.890625,85547.5546875,89942.78125,95721.8359375,101749.4921875,108271.203125,115727.3515625,123764.0078125,132522.5625,141624.328125,151105.015625,160424.40625,168334.359375,176765.078125,183881.140625,190534.671875,196407.71875,202508.8125,208733.625,215490.8125,222377.046875,228637.8125,234575.390625,242758.09375,251677.203125,261367.625
ARE,United Arab Emirates,rgdpna,Real GDP at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,51917.6015625,59445.08203125,68064.625,77934.2890625,89233.3046875,94790.421875,109048.4453125,128066.9296875,125062.875,156187.46875,197453.21875,203064.015625,186310.71875,176944.390625,184586.65625,180176.75,146006.6875,155144.5625,151423.8125,171914.25,202430.625,204171.734375,211001.875,213662.8125,232042.765625,251113.078125,265828.90625,288825.40625,293533.0625,306404.8125,343837.5,348567.5,357049.46875,388471.90625,425635.1875,446300.34375,490204.125,505814.15625,528130.6875,506358.5625,520725.03125,553093.875,563185.0625,591657.1875,616303.8125,658130.9375,694732.875,699839.625,709034.875,716893.4375,681356.6875,711028.125,764424.125,792086.4375
ARE,United Arab Emirates,rnna,Capital stock at constant 2021 national prices (in mil. 2021US$),,,,,,,,,,,,,,,,,,,,,467497.28125,487784.71875,518274.78125,538828.6875,552469.5625,611308.5625,683230.0625,785522.625,906743.625,1025362.625,1136234.625,1238349.5,1337813,1438375.875,1533829.125,1605391,1671182.75,1717574.25,1763208.75,1812758.875,1868502,1930232.375,2006659.25,2039621.75,2086588.5,2140030.25,2197707.5,2261426.25,2325904,2392364,2463427.25,2532515.75,2606223.75,2687563,2769130.5,2871094.5,2995903,3207044,3411208.25,3629475.5,3811128.25,3997247,4165202,4309887.5,4464207.5,4665240.5,4863628.5,5015024,5142086.5,5297392,5393252.5,5493170,5716960,5951651.5
