Year,Y_norm,K_norm,C_norm,T_adjusted
1959,1,1,1,0
1960,1.097694043,1.090017364,1.002943224,-0.06
1961,1.144194605,1.145198337,1.005253497,0.03
1962,1.204062833,1.202386192,1.00781695,0
1963,1.266324375,1.262848009,1.009525919,0.02
1964,1.348756093,1.33336353,1.011519716,-0.23
1965,1.419561485,1.40867876,1.012848914,-0.14
1966,1.493123817,1.487886589,1.017058042,-0.09
1967,1.551538055,1.565695727,1.019621495,-0.05
1968,1.644973673,1.650060477,1.022374834,-0.11
1969,1.745173035,1.743296014,1.027343503,0.02
1970,1.911876597,1.894590081,1.030698145,0
1971,1.999737299,2.007631822,1.03272359,-0.11
1972,2.11316496,2.127776748,1.036331413,-0.02
1973,2.251214333,2.257844984,1.043357175,0.13
1974,2.312209075,2.380677767,1.044971201,-0.1
1975,2.339628952,2.501676289,1.047946073,-0.04
1976,2.469358226,2.633655172,1.050794354,-0.13
1977,2.573339703,2.771979166,1.056522565,0.15
1978,2.681393285,2.917410546,1.061491234,0.04
1979,2.791793443,3.062052531,1.066016837,0.13
1980,2.855019541,3.206009514,1.07209317,0.22
1981,2.907594254,3.345818226,1.07639724,0.29
1982,2.918549174,3.470683588,1.08070131,0.11
1983,2.99658804,3.589401426,1.085986455,0.28
1984,3.132094597,3.710801088,1.091429837,0.12
1985,3.243372843,3.835211161,1.096113678,0.09
1986,3.349289064,3.965075875,1.100101272,0.15
1987,3.480412712,4.101991249,1.10548136,0.29
1988,3.636681407,4.249891109,1.113013482,0.36
1989,3.769911872,4.408580302,1.117792265,0.24
1990,4.428097349,5.9041239,1.121748212,0.42
1991,4.46455335,6.10268317,1.125704158,0.37
1992,4.525598774,6.271069665,1.128362555,0.19
1993,4.596821763,6.424691859,1.130482942,0.2
1994,4.719726591,6.5802959,1.136021267,0.28
1995,4.864394505,6.744770943,1.142382429,0.41
1996,5.052013695,6.924295884,1.14798405,0.3
1997,5.253978635,7.113630531,1.151591873,0.43
1998,5.390418791,7.300369201,1.160959554,0.57
1999,5.589821794,7.49048867,1.166339642,0.35
2000,5.855008376,7.696155906,1.170042408,0.36
2001,5.999287858,7.902445765,1.175137667,0.5
2002,6.165786201,8.105639979,1.1818786,0.59
2003,6.394177816,8.332915947,1.189885436,0.58
2004,6.722893824,8.590668056,1.195328818,0.5
2005,7.033254315,8.880879541,1.202544465,0.64
2006,7.402507266,9.20707475,1.209222103,0.6
2007,7.792220542,9.569107704,1.215330084,0.63
2008,8.015893188,9.939298963,1.221058295,0.51
2009,7.973702699,10.27686356,1.226786505,0.62
2010,8.386645177,10.65125553,1.234571808,0.69
2011,8.727433833,11.05681783,1.240110134,0.57
2012,8.996605283,11.4773751,1.247104247,0.61
2013,9.291824947,11.91027385,1.255585797,0.64
2014,9.617047601,12.36063576,1.262136844,0.72
2015,9.944679252,12.82766555,1.26909931,0.86
2016,10.27158931,13.30906038,1.279859485,0.98
2017,10.66565986,13.81904644,1.287296664,0.88
2018,11.05869489,14.36271873,1.293499589,0.82
2019,11.38639155,14.91930702,1.302772327,0.94
2020,11.08025813,15.41930305,1.310874106,0.97
2021,11.80578901,15.9718118,1.317836572,0.81
2022,12.21526627,16.54942297,1.324545857,0.86
2023,12.61336189,17.1565778,1.332615988,1.14
