Year,Y_norm,T_adjusted,C_norm,K_norm
1959,1,0.97,1,1
1960,1.097694043,0.972943224,1.002943224,1.090017364
1961,1.144194605,0.975253497,1.005253497,1.145198337
1962,1.204062833,0.97781695,1.00781695,1.202386192
1963,1.266324375,0.979525919,1.009525919,1.262848009
1964,1.348756093,0.981519716,1.011519716,1.33336353
1965,1.419561485,0.982848914,1.012848914,1.40867876
1966,1.493123817,0.987058042,1.017058042,1.487886589
1967,1.551538055,0.989621495,1.019621495,1.565695727
1968,1.644973673,0.992374834,1.022374834,1.650060477
1969,1.745173035,0.997343503,1.027343503,1.743296014
1970,1.911876597,1.000698145,1.030698145,1.894590081
1971,1.999737299,1.00272359,1.03272359,2.007631822
1972,2.11316496,1.006331413,1.036331413,2.127776748
1973,2.251214333,1.013357175,1.043357175,2.257844984
1974,2.312209075,1.014971201,1.044971201,2.380677767
1975,2.339628952,1.017946073,1.047946073,2.501676289
1976,2.469358226,1.020794354,1.050794354,2.633655172
1977,2.573339703,1.026522565,1.056522565,2.771979166
1978,2.681393285,1.031491234,1.061491234,2.917410546
1979,2.791793443,1.036016837,1.066016837,3.062052531
1980,2.855019541,1.04209317,1.07209317,3.206009514
1981,2.907594254,1.04639724,1.07639724,3.345818226
1982,2.918549174,1.05070131,1.08070131,3.470683588
1983,2.99658804,1.055986455,1.085986455,3.589401426
1984,3.132094597,1.061429837,1.091429837,3.710801088
1985,3.243372843,1.066113678,1.096113678,3.835211161
1986,3.349289064,1.070101272,1.100101272,3.965075875
1987,3.480412712,1.07548136,1.10548136,4.101991249
1988,3.636681407,1.083013482,1.113013482,4.249891109
1989,3.769911872,1.087792265,1.117792265,4.408580302
1990,4.428097349,1.091748212,1.121748212,5.9041239
1991,4.46455335,1.095704158,1.125704158,6.10268317
1992,4.525598774,1.098362555,1.128362555,6.271069665
1993,4.596821763,1.100482942,1.130482942,6.424691859
1994,4.719726591,1.106021267,1.136021267,6.5802959
1995,4.864394505,1.112382429,1.142382429,6.744770943
1996,5.052013695,1.11798405,1.14798405,6.924295884
1997,5.253978635,1.121591873,1.151591873,7.113630531
1998,5.390418791,1.130959554,1.160959554,7.300369201
1999,5.589821794,1.136339642,1.166339642,7.49048867
2000,5.855008376,1.140042408,1.170042408,7.696155906
2001,5.999287858,1.145137667,1.175137667,7.902445765
2002,6.165786201,1.1518786,1.1818786,8.105639979
2003,6.394177816,1.159885436,1.189885436,8.332915947
2004,6.722893824,1.165328818,1.195328818,8.590668056
2005,7.033254315,1.172544465,1.202544465,8.880879541
2006,7.402507266,1.179222103,1.209222103,9.20707475
2007,7.792220542,1.185330084,1.215330084,9.569107704
2008,8.015893188,1.191058295,1.221058295,9.939298963
2009,7.973702699,1.196786505,1.226786505,10.27686356
2010,8.386645177,1.204571808,1.234571808,10.65125553
2011,8.727433833,1.210110134,1.240110134,11.05681783
2012,8.996605283,1.217104247,1.247104247,11.4773751
2013,9.291824947,1.225585797,1.255585797,11.91027385
2014,9.617047601,1.232136844,1.262136844,12.36063576
2015,9.944679252,1.23909931,1.26909931,12.82766555
2016,10.27158931,1.249859485,1.279859485,13.30906038
2017,10.66565986,1.257296664,1.287296664,13.81904644
2018,11.05869489,1.263499589,1.293499589,14.36271873
2019,11.38639155,1.272772327,1.302772327,14.91930702
2020,11.08025813,1.280874106,1.310874106,15.41930305
2021,11.80578901,1.287836572,1.317836572,15.9718118
2022,12.21526627,1.294545857,1.324545857,16.54942297
2023,12.61336189,1.302615988,1.332615988,17.1565778
